License Number,License Type,License Type Code,License Status,License Status Code,Issued Date,Effective Date,Expiration Date,Application Number,Entity Name,Address Line 1,Address Line 2,City,State,Zip Code,County,Region,Business Website,Operational Status,Business Purpose,Tier Type,Processor Type,Primary Contact Name,Email
OCM-MICR-25-000270,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,6/9/2025 0:00,6/9/2025 0:00,6/9/2027 0:00,OCMMICR-2023-000282,Lazy Day Farm LLC,,,,,,Greene,Capital District,www.lazydayfarmer.com,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_OUTDOOR,Type 1 - Extracting,Kiley Thompson,kiley@lazydayfarmer.com
OCM-PROC-25-000297,Adult-Use Processor License,OCMPROC,Active,LICACT,6/2/2025 0:00,6/2/2025 0:00,6/2/2027 0:00,OCMPROC-2023-000444,Night Owl Farm LLC,,,,,,Tompkins,Southern Tier,,Active,Adult-Use Processing,,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",James Gaffney,nightowlfarmllc@gmail.com
OCM-MICR-25-000268,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,5/23/2025 0:00,5/23/2025 0:00,5/23/2027 0:00,OCMMICR-2023-000317,IQ CANNABIS-KHUYAY CORP.,,,,,,Tompkins,Southern Tier,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_COMBINATION,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Daysi Briones,iqcontracting@gmail.com
OCM-MICR-25-000261,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,5/21/2025 0:00,5/21/2025 0:00,5/21/2027 0:00,OCMMICR-2023-000568,TRACEY'S CANDY SHOP LLC,10640 Guy R Brewer Blvd,,Jamaica,NY,11433,Queens,Queens,,Non-Operational,"Adult-Use Cultivation, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_COMBINATION,,Tracey Worthen ,tracey@goldlinetaxservice.com
OCM-PROC-25-000292,Adult-Use Processor License,OCMPROC,Active,LICACT,5/15/2025 0:00,5/15/2025 0:00,5/15/2027 0:00,OCMPROC-2024-000024,"Triple HHH Farm, LLC",,,,,,Schenectady,Capital District,farmtripleh.com,Active,Adult-Use Processing,,Type 2 - Infusing and Blending,Matthew Meola,mattiefishes@gmail.com
OCM-MICR-25-000259,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,5/13/2025 0:00,5/13/2025 0:00,5/13/2027 0:00,OCMMICR-2023-000613,LK Wellness LLC,470 Baltic St,,Brooklyn,NY,11217,Kings,Brooklyn,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_INDOOR,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Lyudmila Krupitsky,lkrupitsky@hotmail.com
OCM-PROC-25-000289,Adult-Use Processor License,OCMPROC,Active,LICACT,5/5/2025 0:00,5/5/2025 0:00,5/5/2027 0:00,OCMPROC-2023-000154,SHOKi Beverages Corp.,,,,,,Chemung,Southern Tier,,Non-Operational,Adult-Use Processing,,Type 2 - Infusing and Blending,Tiffany Yarde,info@tribeshoki.com
OCM-MICR-25-000252,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/30/2025 0:00,4/30/2025 0:00,4/30/2027 0:00,OCMMICR-2023-000372,Cubed Roots LLC,4870 Duguid Rd,,Manlius,NY,13104,Onondaga,Central NY,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_OUTDOOR,Type 1 - Extracting,Chris Starowicz,cubedrootsus@gmail.com
OCM-MICR-25-000251,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/30/2025 0:00,4/30/2025 0:00,4/30/2027 0:00,OCMMICR-2023-000405,High Rhino Solutions L.L.C.,,,,,,Albany,Capital District,highrhinosolutions.com,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,"Infusing and Blending; and Packaging, Labeling and Branding",Maelisa Rivera ,highrhinosolutions@gmail.com
OCM-MICR-25-000254,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/30/2025 0:00,4/30/2025 0:00,4/30/2027 0:00,OCMMICR-2023-000135,Milk Burger INC,148 Bruckner Blvd,,Bronx,NY,10454,Bronx,Bronx,,Non-Operational,"Adult-Use Cultivation, Adult-Use Retail Sales",MICROBUS_INDOOR,,Erik Mayor,erik@milkburger.com
OCM-MICR-25-000250,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/25/2025 0:00,4/25/2025 0:00,4/25/2027 0:00,OCMMICR-2023-000157,"Blue Mountain Growers, LLC",,,,,,Ulster,Mid-Hudson,www.bluemountaingrowers.com,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_OUTDOOR,Type 1 - Extracting,Gary Myer,bluemountaingrowersny@gmail.com
OCM-MICR-25-000248,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/25/2025 0:00,4/25/2025 0:00,4/25/2027 0:00,OCMMICR-2023-000122,Innocence Cannabis LLC,,,,,,Niagara,Western NY,www.innocence.buzz,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,Type 1 - Extracting,Thomas Szulist,tom@singerfarmnaturals.com
OCM-PROC-25-000283,Adult-Use Processor License,OCMPROC,Active,LICACT,4/23/2025 0:00,4/23/2025 0:00,4/23/2027 0:00,OCMPROC-2023-000308,NorthEast Extracts LLC,,,,,,Yates,Finger Lakes,NorthEast-Extracts.com,Non-Operational,Adult-Use Processing,,Type 1 - Extracting,Eric Lundquist,eric@northeast-extracts.com
OCM-PROC-25-000280,Adult-Use Processor License,OCMPROC,Active,LICACT,4/10/2025 0:00,4/10/2025 0:00,4/10/2027 0:00,OCMPROC-2024-000045,"County Line Ventures, LLC",,,,,,Columbia,Capital District,,Non-Operational,Adult-Use Processing,,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Charles Colaruotolo,cmfarmgrhs@yahoo.com
OCM-PROC-25-000278,Adult-Use Processor License,OCMPROC,Active,LICACT,3/31/2025 0:00,3/31/2025 0:00,3/31/2027 0:00,OCMPROC-2023-000517,"Leaf Lab NYC, LLC",,,,,,Westchester,Mid-Hudson,www.leaflabnyc.org,Non-Operational,Adult-Use Processing,,Type 2 - Infusing and Blending,Kedmiel Hendrix,contactus@leaflabnyc.org
OCM-MICR-25-000238,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,3/25/2025 0:00,3/25/2025 0:00,3/25/2027 0:00,OCMMICR-2023-000052,DAISEYS LLC,,,,,,Dutchess,Mid-Hudson,,Non-Operational,"Adult-Use Cultivation, Adult-Use Distribution",MICROBUS_OUTDOOR,,Thomas Minotti,tom@minottilaw.com
OCM-MICR-25-000234,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,3/24/2025 0:00,3/24/2025 0:00,3/24/2027 0:00,OCMMICR-2023-000123,Battenkilll Buds LLC,,,,,,Washington,Capital District,battenkillbuds.com,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Derek Mann,battenkillbuds@gmail.com
OCM-MICR-25-000237,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,3/24/2025 0:00,3/24/2025 0:00,3/24/2027 0:00,OCMMICR-2023-000390,"Upstate New York Cannabis and Clone Company, LLC",75 King Rd,,Buskirk,NY,12028,Washington,Capital District,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_OUTDOOR,Type 1 - Extracting,Johnnie Hatfield,sales@upstateclones.com
OCM-MICR-25-000232,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,3/24/2025 0:00,3/24/2025 0:00,3/24/2027 0:00,OCMMICR-2023-000463,Utopia Flowers LLC,,,,,,Suffolk,Long Island,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",John Roberti,jmroberti@comcast.net
OCM-MICR-25-000227,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,2/19/2025 0:00,2/19/2025 0:00,2/19/2027 0:00,OCMMICR-2023-000545,Cannurban NY LLC,,,,,,Cortland,Central NY,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Scheril Murray Powell,smpesquire@outlook.com
OCM-MICR-25-000229,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,2/19/2025 0:00,2/19/2025 0:00,2/19/2027 0:00,OCMMICR-2023-000332,Magical Weeds LLC,,,,,,Ontario,Finger Lakes,magicalweeds.com,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_OUTDOOR,Type 2 - Infusing and Blending,Cortni Stahl,magicalweedsny@gmail.com
OCM-PROC-25-000258,Adult-Use Processor License,OCMPROC2,Active,LICACT,2/18/2025 0:00,2/18/2025 0:00,2/18/2027 0:00,OCMPROC2-2024-000004,Roxanne Burford,,,,,,Broome,Southern Tier,,Non-Operational,Adult-Use Processing,,Type 1 - Extracting,Roxanne Burford,rforster@alltel.net
OCM-MICR-25-000223,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,2/16/2025 0:00,2/16/2025 0:00,2/16/2027 0:00,OCMMICR-2023-000129,Three Cord Ranch LLC,,,,,,Rockland,Mid-Hudson,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_OUTDOOR,Type 1 - Extracting,Todd Giolando,tdgiolando@gmail.com
OCM-PROC-25-000243,Adult-Use Processor License,OCMPROC,Active,LICACT,1/6/2025 0:00,1/6/2025 0:00,1/6/2027 0:00,OCMPROC-2024-000038,"Rec Roots, LLC",,,,,,Chemung,Southern Tier,www.recreationalroots.com,Active,Adult-Use Processing,,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Brian Batrowny,info@recrootsny.com
OCM-MICR-24-000216,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,12/23/2024 0:00,12/23/2024 0:00,12/23/2026 0:00,OCMMICR-2023-000574,STONED IN BROOKLYN INC,2600 Flatbush Ave,,Brooklyn,NY,11234,Kings,Brooklyn,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_INDOOR,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Jason Lewis,Jasonny112@gmail.com
OCM-PROC-24-000237,Adult-Use Processor License,OCMPROC,Active,LICACT,12/18/2024 0:00,12/18/2024 0:00,12/18/2026 0:00,OCMPROC-2024-000037,HPI CULTIVATION INC.,,,,,,Westchester,Mid-Hudson,www.hpicanna.com,Active,Adult-Use Processing,,Type 1 - Extracting,Kimberly Tanami,k.tanami@hpifarma.com
OCM-PROC-24-000223,Adult-Use Processor License,OCMPROC,Active,LICACT,12/10/2024 0:00,12/10/2024 0:00,12/10/2026 0:00,OCMPROC-2023-000070,"Empire Extracting & Processing, LLC",,,,,,Nassau,Long Island,,Active,Adult-Use Processing,,"Infusing and Blending; and Packaging, Labeling and Branding",Sunish Suchdeve,ssuchdeve@aol.com
OCM-MICR-24-000207,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,12/10/2024 0:00,12/10/2024 0:00,12/10/2026 0:00,OCMMICR-2023-000808,Morris Hemp LLC,,,,,,Erie,Western NY,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,Type 2 - Infusing and Blending,Jeffrey Morris,Jeff.morris747@gmail.com
OCM-MICR-24-000208,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,12/10/2024 0:00,12/10/2024 0:00,12/10/2026 0:00,OCMMICR-2024-000012,STARTIDE SUSTAINABILITY LLC,,,,,,Suffolk,Long Island,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_MIXED,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Taylor Bush,startidecompliance@gmail.com
OCM-MICR-24-000204,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,12/3/2024 0:00,12/3/2024 0:00,12/3/2026 0:00,OCMMICR-2023-000421,PACHA PRODUCTS NY LLC,,,,,,Kings,Brooklyn,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,Type 2 - Infusing and Blending,Heather Vega ,pachaproductsllc@gmail.com
OCM-MICR-24-000200,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,11/26/2024 0:00,11/26/2024 0:00,11/26/2026 0:00,OCMMICR-2023-000456,"Living Proof, LLC",,,,,,Bronx,Bronx,alivingproof.com,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_COMBINATION,Type 1 - Extracting,Mujahid Washington,washington@alivingproof.com
OCM-PROC-24-000210,Adult-Use Processor License,OCMPROC,Active,LICACT,11/18/2024 0:00,11/18/2024 0:00,11/18/2026 0:00,OCMPROC-2023-000162,Hempire Farms LLC,,,,,,Broome,Southern Tier,,Active,Adult-Use Processing,,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Jorden Seamans,jorden@nep.net
OCM-PROC-24-000208,Adult-Use Processor License,OCMPROC,Active,LICACT,11/18/2024 0:00,11/18/2024 0:00,11/18/2026 0:00,OCMPROC-2023-000274,"Hudson Valley Hemp Company, LLC",,,,,,Queens,Queens,www.hudsoncannabis.co,Active,Adult-Use Processing,,"Infusing and Blending; and Packaging, Labeling and Branding",Lucas Seymour,lucas@hudsoncannabis.co
OCM-MICR-24-000189,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,11/15/2024 0:00,11/15/2024 0:00,11/15/2026 0:00,OCMMICR-2023-000480,Benny's Joint,2772 Ellison Rd,,Watkins Glen,NY,14891,Schuyler,Southern Tier,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_MIXED,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Aisha Ricca ,pricca@verizon.net
OCM-MICR-24-000196,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,11/15/2024 0:00,11/15/2024 0:00,11/15/2026 0:00,OCMMICR-2023-000130,BLAZIN RED HORSE LLC,,,,,,Erie,Western NY,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,"Infusing and Blending; and Packaging, Labeling and Branding",Dominic Zicari ,dominic.zicari@msn.com
OCM-MICR-24-000186,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,11/15/2024 0:00,11/15/2024 0:00,11/15/2026 0:00,OCMMICR-2023-000624,Green Klub Inc.,,,,,,New York,Manhattan,,Active,Adult-Use Cultivation,MICROBUS_INDOOR,Type 1 - Extracting,Angelo La Roche,angelo@greenklubnyc.com
OCM-PROC-24-000201,Adult-Use Processor License,OCMPROC,Active,LICACT,11/14/2024 0:00,11/14/2024 0:00,11/14/2026 0:00,OCMPROC-2024-000028,Highland Goat LLC,,,,,,Dutchess,Mid-Hudson,www.highlandgoat.com,Active,Adult-Use Processing,,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Laurel Mason,laurel@highlandgoat.com
OCM-MICR-24-000180,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,10/23/2024 0:00,10/23/2024 0:00,10/23/2026 0:00,OCMMICR-2023-000587,LMW Distro LLC,,,,,,Suffolk,Long Island,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_COMBINATION,Type 1 - Extracting,Robert Yeganeh,robertyeganeh@aol.com
OCM-PROC-24-000163,Adult-Use Processor License,OCMPROC,Active,LICACT,10/18/2024 0:00,10/18/2024 0:00,10/18/2026 0:00,OCMPROC-2023-000088,"Green Street Edibles, Inc.",,,,,,Erie,Western NY,www.greenstreetedibles.com,Active,Adult-Use Processing,,"Infusing and Blending; and Packaging, Labeling and Branding",Benjamin Briskey,bbriskey@att.net
OCM-PROC-24-000158,Adult-Use Processor License,OCMPROC,Active,LICACT,10/18/2024 0:00,10/18/2024 0:00,10/18/2026 0:00,OCMPROC-2023-000144,Susquehanna Spirit LLC,,,,,,Otsego,Mohawk Valley,www.susquehannaspirit.com,Active,Adult-Use Processing,,Type 1 - Extracting,Bradley Tillbrooks,info@susquehannaspirit.com
OCM-PROC-24-000141,Adult-Use Processor License,OCMPROC,Active,LICACT,10/16/2024 0:00,10/16/2024 0:00,10/16/2026 0:00,OCMPROC-2024-000010,"One Hemp, LLC",,,,,,Niagara,Western NY,www.onehempholistics.com,Active,Adult-Use Processing,,Type 1 - Extracting,Kari Bullman,karibullman@gmail.com
OCM-PROC-24-000133,Adult-Use Processor License,OCMPROC,Active,LICACT,10/15/2024 0:00,10/15/2024 0:00,10/15/2026 0:00,OCMPROC-2023-000048,H Valley Inc,,,,,,Ulster,Mid-Hudson,www.hudsonvalleyherbals.com,Active,Adult-Use Processing,,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Moranda Bromberg,info@hudsonvalleyherbals.com
OCM-PROC-24-000131,Adult-Use Processor License,OCMPROC,Active,LICACT,10/15/2024 0:00,10/15/2024 0:00,10/15/2026 0:00,OCMPROC-2023-000009,Line By Line LLC,,,,,,Erie,Western NY,www.plumeriabath.com,Active,Adult-Use Processing,,Type 1 - Extracting,Cindy Inman,plumcustomer@plumeriabath.com
OCM-PROC-24-000140,Adult-Use Processor License,OCMPROC,Active,LICACT,10/15/2024 0:00,10/15/2024 0:00,10/15/2026 0:00,OCMPROC-2023-000051,"Nice Up, Inc.",,,,,,Kings,Brooklyn,,Active,Adult-Use Processing,,Type 1 - Extracting,Anthony Walker,walkerkitchensbk@gmail.com
OCM-MICR-24-000173,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,10/15/2024 0:00,10/15/2024 0:00,10/15/2026 0:00,OCMMICR-2023-000540,WURMZ LLC,3709 36th Ave,,Long Island City,NY,11101,Queens,Queens,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_INDOOR,Type 1 - Extracting,Jeffrey Moskovic,info@wurmzcannabis.com
OCM-MICR-24-000170,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,10/9/2024 0:00,10/9/2024 0:00,10/9/2026 0:00,OCMMICR-2023-000493,Four Reds LLC,,,,,,Ulster,Mid-Hudson,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_COMBINATION,Type 1 - Extracting,Kristian Karl,kkarl@optonline.net
OCM-PROC-24-000113,Adult-Use Processor License,OCMPROC,Active,LICACT,9/17/2024 0:00,9/17/2024 0:00,9/17/2026 0:00,OCMPROC-2023-000483,"CAKBCC NY, LLC",,,,,,Allegany,Western NY,,Active,Adult-Use Processing,,Type 2 - Infusing and Blending,Corey Keller,bonanzacannabisny@gmail.com
OCM-PROC-24-000095,Adult-Use Processor License,OCMPROC,Active,LICACT,9/12/2024 0:00,9/12/2024 0:00,9/12/2026 0:00,OCMPROC-2023-000390,Capital Region Co. INC,,,,,,Warren,Capital District,,Active,Adult-Use Processing,,Type 2 - Infusing and Blending,Brianne Mason,info@capitalregionco.com
OCM-MICR-24-000157,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,9/12/2024 0:00,9/12/2024 0:00,9/12/2026 0:00,OCMMICR-2023-000738,Hipcrop LLC,,,,,,Tompkins,Southern Tier,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_OUTDOOR,Type 1 - Extracting,Mary Strassheim,HipcropNY@gmail.com
OCM-PROC-24-000097,Adult-Use Processor License,OCMPROC,Active,LICACT,9/12/2024 0:00,9/12/2024 0:00,9/12/2026 0:00,OCMPROC-2023-000297,"NWC NY 9, LLC",,,,,,Suffolk,Long Island,wyldcanna.com,Active,Adult-Use Processing,,"Infusing and Blending; and Packaging, Labeling and Branding",Gabe Parton Lee,gabe@nwconfections.com
OCM-MICR-24-000159,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,9/12/2024 0:00,9/12/2024 0:00,9/12/2026 0:00,OCMMICR-2023-000473,Pleasant View Harvest llc,,,,,,Putnam,Mid-Hudson,www.pvf.farm,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_MIXED,Type 1 - Extracting,Ervin Raboy,pvfllc@gmail.com
